customer_id,customer_name,customer_type,specialty,hospital_name,city,state,zone,registration_no,status,onboarding_date,tier,created_at,updated_at,ad_hoc_col
C300001,City Bose Clinic,Hospital,Pulmonologist,Manipal Silchar,Silchar,Assam,East,REG895655,Active,2018-06-21,C,2024-05-06 19:04:35,2026-01-11 17:26:42,Needs clean-up
C300002,Care Gupta Clinic,Hospital,Gastroenterologist,Apollo Ahmedabad,Ahmedabad,Gujarat,West,REG761408,Active,2021-08-11,B,2024-02-03 07:17:49,2025-01-31 03:16:44,Legacy mapped
C300003,City Jain Clinic,Chemist,,,Faridabad,Haryana,North,REG520637,Active,2023-03-30,B,2024-01-08 06:12:23,2025-08-24 01:18:17,Unverified
C300004,Hospital Mehta Hospital,Chemist,,,Muzaffarpur,Bihar,East,REG210365,Active,2023-06-17,B,2024-08-23 18:21:30,2025-11-25 09:10:48,
C300005,Prime Mishra Pharmacy,Hospital,Pulmonologist,Fortis Udaipur,Udaipur,Rajasthan,Central,REG178217,Active,07/29/2021,B,2023-12-22 08:42:24,2025-05-28 05:37:38,Needs clean-up
C300006,Hospital Chawla Medicals,Chemist,,,Warangal,Telangana,South,REG901818,Active,2021-01-15,A,2023-01-05 01:29:20,2026-02-19 03:16:23,
C300007,City Gupta Care,Hospital,Gastroenterologist,Care Bilaspur,Bilaspur,Chhattisgarh,Central,REG684796,Active,2019-03-17,A,2023-02-22 23:32:05,2025-03-13 08:25:19,Legacy mapped
C300008,Care Singh Care,Hospital,Dermatologist,Fortis Durg,Durg,Chhattisgarh,West,REG762599,Active,2025-04-05,C,2025-03-08 03:46:01,2025-07-13 19:40:26,Legacy mapped
C300009,Prime Patel Medicals,Hospital,Cardiologist,Global Vasco da Gama,Vasco da Gama,Goa,West,REG759371,Active,2021-10-06,A,2024-06-29 14:05:22,2025-10-25 00:06:06,Legacy mapped
C300010,Life Verma Care,Doctor,Oncologist,Apollo Kolkata,Kolkata,West Bengal,East,REG603943,Active,2023-12-19,C,2025-05-01 16:14:40,2025-03-10 03:59:11,
C300011,Hospital Agarwal Care,Chemist,,,Patna,Bihar,Central,REG899916,Active,2024-02-21,B,2025-10-31 08:10:02,2025-02-01 20:04:18,
C300012,Dr. Das Clinic,Clinic,Pulmonologist,Max Patna,Patna,Bihar,East,REG984936,Active,2025-01-21,B,2025-01-24 05:33:45,2026-03-08 10:47:38,Unverified
C300013,Hospital Das Medicals,Clinic,Gastroenterologist,Global Vasco da Gama,Vasco da Gama,Goa,West,REG456530,Active,2022-04-06,C,2025-12-30 06:24:28,2025-08-11 00:30:19,
C300014,City Joshi Care,Chemist,,,Panipat,Haryana,North,REG957009,Active,2019-08-27,B,2025-06-07 23:01:55,2025-03-10 16:22:49,Needs clean-up
C300015,Hospital Agarwal Hospital,Clinic,General Physician,Aster Gaya,Gaya,Bihar,Central,,Active,2025-12-10,A,2023-06-28 01:05:32,2025-05-29 04:24:10,Legacy mapped
C300016,Hope Sharma Clinic,Doctor,Pulmonologist,Narayana Vasco da Gama,Vasco da Gama,Goa,West,REG163842,Active,2023-10-21,C,2024-04-24 10:25:23,2025-05-04 10:10:51,Unverified
C300017,Prime Bose Pharmacy,Doctor,Neurologist,Narayana Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,REG438421,Active,2019-10-30,C,2024-12-23 23:58:47,2025-03-21 10:04:10,Legacy mapped
C300018,Prime Kulkarni Care,Clinic,Dermatologist,Care Silchar,Silchar,Assam,East,REG910400,Active,2022/05/22,C,2023-12-25 19:17:36,2025-12-18 13:20:56,Legacy mapped
C300019,City Kulkarni Medicals,Chemist,,,Thiruvananthapuram,Kerala,South,REG959761,Active,2020-01-08,A,2025-06-15 00:03:35,2025-05-15 02:21:36,
C300020,Life Jain Clinic,Chemist,,,Hyderabad,Telangana,South,REG172551,Active,2023-10-28,B,2025-02-07 22:15:21,2025-03-24 19:18:26,
C300021,Dr. Mehta Care,Hospital,Dermatologist,Max Rourkela,Rourkela,Odisha,East,,Active,2021-07-28,A,2023-05-22 16:38:31,2025-09-27 15:12:28,Legacy mapped
C300022,Hope Singh Clinic,Chemist,,,Durg,Chhattisgarh,Central,REG207384,Active,2022-05-25,A,2025-02-26 01:15:12,2026-03-01 23:51:43,Legacy mapped
C300023,Dr. Pillai Hospital,Chemist,,,Jodhpur,Rajasthan,North,REG550767,Active,07 Mar 2017,C,2024-02-12 02:14:30,2025-10-11 17:03:46,Legacy mapped
C300024,Life Kapoor Pharmacy,Clinic,Oncologist,Care Gurugram,Gurugram,Delhi,North,REG994762,Active,2022-02-12,B,2024-09-29 11:22:19,2025-06-19 19:56:03,Legacy mapped
C300025,Hospital Agarwal Care,Chemist,,,Guwahati,Assam,East,REG500365,Active,2021-03-02,A,2024-04-26 01:34:39,2026-01-10 04:12:44,Legacy mapped
C300026,Care Pillai Hospital,Doctor,Neurologist,Apollo Bengaluru,Bengaluru,Karnataka,South,REG250214,Active,22/07/2018,A,2025-02-28 14:18:45,2025-02-24 10:40:07,Unverified
C300027,Dr. Kapoor Hospital,Hospital,Dermatologist,Manipal Silchar,Silchar,Assam,East,REG367361,Active,2023-06-30,B,2024-05-25 01:11:37,2025-05-25 01:27:36,Unverified
C300028,Hospital Gupta Hospital,Doctor,Diabetologist,Manipal Surat,Surat,Gujarat,West,REG905736,Active,2019-01-11,C,2024-06-25 16:49:35,2025-11-05 02:37:42,Unverified
C300029,Hope Kulkarni Care,Chemist,,,Lucknow,Uttar Pradesh,Central,REG389719,Active,2024-05-14,B,2024-09-03 13:16:49,2025-06-14 04:15:52,
C300030,Care Nair Medicals,Hospital,Neurologist,Yashoda Gurugram,Gurugram,Haryana,North,REG368064,Active,2017/10/11,C,2025-08-20 15:38:43,2025-06-27 01:07:57,Unverified
C300031,Life Nair Hospital,Clinic,Oncologist,Max Bhopal,Bhopal,Madhya Pradesh,West,REG831569,Active,2020-06-22,C,2023-06-07 14:30:57,2025-12-31 01:53:40,Needs clean-up
C300032,City Gupta Care,Doctor,Dermatologist,Manipal Nizamabad,Nizamabad,Telangana,South,REG113187,Active,2018-06-07,C,2023-06-29 12:56:17,2025-06-29 15:20:53,Legacy mapped
C300033,Prime Nair Medicals,Hospital,Diabetologist,Care Margao,Margao,Goa,West,REG626514,Active,25 Dec 2020,A,2025-05-16 12:33:59,2025-09-18 02:22:22,Needs clean-up
C300034,Dr. Kapoor Pharmacy,Clinic,Dermatologist,Global Faridabad,Faridabad,Haryana,North,REG145244,Active,2025-05-15,A,2025-03-05 08:26:40,2025-01-08 10:36:56,Unverified
C300035,Prime Patel Clinic,Doctor,Dermatologist,Narayana Durgapur,Durgapur,West Bengal,East,REG297006,Active,2021-03-02,A,2025-11-12 04:23:25,2025-11-07 12:04:37,Legacy mapped
C300036,Prime Mishra Medicals,Clinic,Dermatologist,Aster Jalandhar,Jalandhar,Punjab,North,REG680330,Active,2025-06-15,C,2025-04-16 23:12:05,2025-10-20 13:59:14,
C300037,City Singh Pharmacy,Chemist,,,Cuttack,Odisha,East,REG292101,Active,2023-04-27,C,2023-06-10 13:16:08,2025-05-01 00:07:08,Needs clean-up
C300038,Life Yadav Clinic,Doctor,General Physician,Global Dhanbad,Dhanbad,Jharkhand,East,REG965594,Active,2022-03-27,C,2023-02-04 16:23:42,2025-06-27 07:51:24,
C300039,Life Singh Hospital,Doctor,Oncologist,Manipal Ahmedabad,Ahmedabad,Gujarat,West,REG469922,Active,2023-12-16,C,2024-08-15 05:49:38,2025-09-24 09:51:04,
C300040,Prime Iyer Pharmacy,Hospital,General Physician,Manipal Durgapur,Durgapur,West Bengal,East,REG423525,Active,12/26/2021,C,2025-02-19 06:47:50,2025-06-16 04:43:46,Legacy mapped
C300041,DR. GUPTA medicals,Hospital,Cardiologist,Global Ranchi,Ranchi,Jharkhand,East,REG798557,Blacklisted,2024-06-01,A,2024-11-16 06:58:41,2025-12-07 02:45:06,
C300042,Prime Chawla Care,Clinic,Gastroenterologist,Manipal Kochi,Kochi,Kerala,South,REG544490,Active,2024-04-20,C,2024-09-14 15:11:32,2025-02-07 20:15:10,Needs clean-up
C300043,Dr. Singh Clinic,Chemist,,,Dibrugarh,Assam,East,REG151640,Active,2023-09-29,B,2023-03-05 07:31:23,2025-04-22 11:40:44,Legacy mapped
C300044,Hospital Bose Hospital,Chemist,,,Ludhiana,Punjab,North,REG710320,Active,15 Oct 2025,A,2023-04-22 11:25:32,2025-08-21 17:03:29,
C300045,Prime Chawla Hospital,Chemist,,,Visakhapatnam,Andhra Pradesh,South,REG624809,Active,2023-09-22,C,2024-05-02 16:32:57,2025-03-28 00:58:45,
C300046,Life Kapoor Hospital,Clinic,Gastroenterologist,Manipal Siliguri,Siliguri,West Bengal,East,REG189022,Active,2021-08-23,B,2023-10-09 16:57:10,2025-03-10 22:51:48,Needs clean-up
C300047,City Kulkarni Care,Chemist,,,Udaipur,Rajasthan,North,REG690058,Active,2023-07-06,B,2024-01-24 21:54:47,2026-02-21 08:47:54,Unverified
C300048,City Gupta Medicals,Doctor,Dermatologist,Aster Indore,Indore,Madhya Pradesh,West,REG456449,Active,2017-05-20,C,2023-07-05 22:23:38,2025-06-27 23:25:47,Needs clean-up
