target_id,target_month,employee_id,product_id,target_qty,target_value,currency,approved_by,approval_status,created_at,updated_at,source_system,batch_id,remarks
T400001,2025-02-01,E100598,P200489,252,"3,45,705.21",INR,E100303,Approved,2025-09-28 19:03:59,2025-07-12 18:45:58,CRM,BATCH_20260313_001,Carry forward
T400002,2025-09-01,E100100,P200022,1379,"59,78,413.00",INR,E100138,Approved,2025-10-10 16:25:25,2025-09-24 13:34:42,Legacy ERP,BATCH_20260313_001,
T400003,2025-03-01,E100022,P200235,839,"35,50,473.97",INR,E100327,Pending,2025-03-14 03:06:17,2026-01-22 05:02:46,SFA App,BATCH_20260313_002,Carry forward
T400004,2025-04-01,E100099,P200229,740,"6,40,687.63",INR,E100056,Approved,2025-09-19 18:26:55,2025-12-19 02:01:34,Legacy ERP,BATCH_20260313_003,Revised
T400005,2025-08-01,E100740,P200605,160,"2,25,683.80",INR,E100458,Approved,2025-01-13 22:48:36,2025-08-18 13:31:24,CRM,BATCH_20260313_001,Revised
T400006,11/01/2025,E100346,P200308,707,"13,19,118.87",INR,E100125,Approved,2025-02-10 21:58:32,2025-11-17 06:43:56,Legacy ERP,BATCH_20260313_003,Carry forward
T400007,2025-03-01,E100253,P200068,153,"33,803.24",INR,E100050,Rejected,2024-11-16 05:17:06,2025-12-13 14:02:13,SFA App,BATCH_20260313_003,Carry forward
T400008,2026-01-01,E100190,P200250,1055,"34,55,052.79",INR,E100154,Approved,2025-03-30 20:28:07,2026-02-15 16:36:57,SFA App,BATCH_20260313_002,Revised
T400009,2026-01-01,E100078,P200492,1010,"27,84,064.93",INR,E100304,Approved,2026-02-28 20:39:11,2025-02-20 01:52:06,SFA App,BATCH_20260313_001,Manual upload
T400010,2026-01-01,E100276,P200555,323,"1,41,347.91",INR,E100348,Rejected,2025-11-10 15:43:36,2025-08-04 07:05:14,CRM,BATCH_20260313_002,
T400011,2025-10-01,E100683,P200282,847,"31,24,409.88",INR,E100653,Approved,2025-09-09 12:25:10,2025-09-04 02:17:22,SFA App,BATCH_20260313_001,Manual upload
T400012,2026-03-01,E100327,P200545,1461,"29,16,195.18",INR,E100222,Approved,2025-05-10 22:48:28,2025-08-25 03:43:56,SFA App,BATCH_20260313_001,Revised
T400013,2025-10-01,E100069,P200590,1218,"53,05,561.29",INR,E100090,Approved,2025-11-05 23:30:00,2025-12-07 15:40:00,SAP,BATCH_20260313_001,Revised
T400014,2025-10-01,E100667,P200450,918,"32,17,518.29",INR,E100521,Rejected,2025-03-29 06:00:44,2025-01-06 07:38:34,SFA App,BATCH_20260313_003,
T400015,2025-07-01,E100433,P200294,747,"28,11,742.12",INR,E100557,Approved,2025-09-27 23:52:53,2025-06-05 19:41:32,SFA App,BATCH_20260313_003,Carry forward
T400016,2025-12-01,E100621,P200199,415,"47,340.34",INR,E100415,Approved,2024-11-14 20:43:13,2025-08-29 11:23:47,SFA App,BATCH_20260313_003,Carry forward
T400017,2025-08-01,E100296,P200336,1494,,INR,E100148,Approved,2025-06-03 09:13:01,2025-09-16 03:14:08,CRM,BATCH_20260313_001,Carry forward
T400018,01/01/2025,E100475,P200380,579,"2,40,881.84",INR,E100385,Approved,2024-11-02 18:17:53,2025-06-11 11:47:41,SFA App,BATCH_20260313_001,
T400019,2025-03-01,E100296,P200584,1400,"60,35,255.87",INR,E100507,Approved,2024-11-02 06:35:09,2026-02-17 21:32:03,SFA App,BATCH_20260313_001,
T400020,2025-05-01,E100052,P200148,697,"16,75,052.17",INR,E100282,Approved,2025-06-24 20:37:15,2025-11-03 19:53:24,SFA App,BATCH_20260313_003,Revised
T400021,2025-04-01,E100678,P200656,1597,"57,42,622.84",INR,E100203,Approved,2025-12-25 13:35:32,2025-04-18 17:46:50,SFA App,BATCH_20260313_003,Revised
T400022,2025-02-01,E100356,P200526,966,"9,75,601.78",INR,E100390,Approved,2025-11-16 04:15:21,2025-01-20 15:51:52,CRM,BATCH_20260313_002,Manual upload
T400023,2025-06-01,E100241,P200647,,"1,88,018.20",INR,E100264,Pending,2025-09-02 12:01:42,2025-04-11 06:59:18,CRM,BATCH_20260313_003,Carry forward
T400024,2025-07-01,E100060,P200555,999,"7,59,773.90",INR,E100192,Approved,2026-02-03 01:28:25,2025-08-14 14:47:28,SFA App,BATCH_20260313_002,Revised
T400025,2025/08/01,E100723,P200617,204,"4,96,712.03",INR,E100452,Approved,2025-06-09 16:50:36,2025-10-19 07:13:02,Legacy ERP,BATCH_20260313_001,Manual upload
T400026,2025-11-01,E100290,P200044,919,"7,14,630.75",INR,E100244,Approved,2025-03-24 17:44:30,2025-09-13 06:24:22,SAP,BATCH_20260313_003,Carry forward
T400027,2025-10-01,E100625,P200114,1148,"42,72,066.24",INR,E100311,Approved,2025-03-02 11:30:11,2025-05-16 14:25:54,CRM,BATCH_20260313_003,Carry forward
T400028,2026-01-01,E100491,P200151,862,"25,85,568.67",INR,E100570,Pending,2025-10-28 09:53:14,2025-09-18 20:45:44,Legacy ERP,BATCH_20260313_003,
T400029,2025-10-01,E100028,P200593,1712,"45,92,449.14",INR,E100721,Approved,2025-12-07 22:17:41,2026-02-13 10:44:01,Legacy ERP,BATCH_20260313_001,Carry forward
T400030,2025-05-01,E100636,P200030,1080,"36,93,011.54",INR,E100386,Approved,2026-01-03 09:50:20,2025-05-01 12:53:18,SFA App,BATCH_20260313_001,
T400031,2025-12-01,E100503,P200512,1225,"33,74,859.50",INR,E100719,Approved,2026-01-20 12:46:43,2025-02-13 10:59:15,CRM,BATCH_20260313_001,
T400032,2025-01-01,E100153,P200509,328,"6,93,440.45",INR,E100432,Approved,2025-09-10 15:48:57,2025-12-21 13:44:36,CRM,BATCH_20260313_003,
T400033,2025-05-01,E100329,P200111,783,"8,94,354.48",INR,E100121,Pending,2025-07-23 02:09:48,2025-01-20 15:21:55,SAP,BATCH_20260313_001,
T400034,2026-02-01,E100415,P200627,1627,"66,37,312.82",INR,E100357,Pending,2025-02-21 18:57:42,2025-03-22 04:55:16,Legacy ERP,BATCH_20260313_002,Carry forward
T400035,01 Mar 2025,E100450,P200347,484,"4,26,994.21",INR,E100319,Approved,2024-12-13 06:39:51,2026-02-01 18:36:23,SAP,BATCH_20260313_002,Manual upload
T400036,2025-04-01,E100581,P200615,477,"20,15,284.86",INR,E100337,Approved,2024-11-22 15:00:22,2026-01-13 21:43:48,SFA App,BATCH_20260313_003,Carry forward
T400037,2025-01-01,E100730,P200067,1769,"35,14,486.29",INR,E100067,Approved,2025-07-24 15:18:02,2025-12-27 16:41:07,SAP,BATCH_20260313_002,Revised
T400038,2025-10-01,E100026,P200385,1677,"45,89,931.74",INR,E100137,Approved,2026-01-30 16:37:38,2026-01-23 18:56:36,SFA App,BATCH_20260313_001,Revised
T400039,2025-03-01,E100008,P200658,1181,"15,92,092.57",INR,E100331,Approved,2024-11-27 17:59:12,2026-01-16 03:36:06,CRM,BATCH_20260313_003,Manual upload
T400040,2025-12-01,E100056,P200269,1544,"38,51,749.37",INR,E100272,Approved,2025-08-10 02:35:17,2025-05-20 00:38:55,CRM,BATCH_20260313_003,Manual upload
T400041,01/08/2025,E100364,P200316,192,"5,43,388.66",INR,E100708,Pending,2025-03-10 16:29:19,2025-09-29 15:02:21,SFA App,BATCH_20260313_002,Revised
T400042,02/01/2026,E100233,P200029,1659,,INR,E100669,Rejected,2025-03-20 20:25:55,2025-02-25 11:00:54,SAP,BATCH_20260313_001,Revised
T400043,2025-07-01,E100345,P200054,858,"24,51,666.10",INR,E100371,Approved,2025-04-28 19:01:53,2025-09-19 11:41:23,SFA App,BATCH_20260313_002,Carry forward
T400044,2026-03-01,E100500,P200551,1226,"12,51,011.84",INR,E100601,Approved,2025-09-05 09:31:17,2025-04-26 14:09:56,SAP,BATCH_20260313_003,Revised
T400045,2025-02-01,E100336,P200157,1471,"52,58,934.60",INR,E100019,Approved,2024-11-14 04:29:27,2026-02-05 08:31:04,Legacy ERP,BATCH_20260313_001,Carry forward
T400046,01 Apr 2025,E100696,P200668,394,"1,71,987.26",INR,E100668,Approved,2025-10-11 04:15:31,2025-08-19 06:40:59,SAP,BATCH_20260313_001,Revised
T400047,2026-03-01,E100008,P200627,1150,"13,29,033.07",INR,E100506,Approved,2025-11-29 00:13:19,2025-07-17 06:51:12,CRM,BATCH_20260313_003,Manual upload
T400048,2025-03-01,E100273,P200649,1694,"28,63,974.75",INR,E100405,Approved,2025-07-31 01:47:42,2025-06-20 17:02:02,SAP,BATCH_20260313_003,Carry forward
T400049,2025-11-01,E100573,P200590,766,"31,78,665.52",INR,E100484,Pending,2026-01-17 01:58:05,2026-03-13 10:17:14,Legacy ERP,BATCH_20260313_002,
T400050,2025-01-01,E100577,P200651,1034,"21,58,058.04",INR,E100746,Pending,2025-12-15 09:56:33,2025-09-24 03:22:42,SAP,BATCH_20260313_002,Carry forward
T400051,2025-02-01,E100440,P200417,1271,"37,97,174.92",INR,E100004,Pending,2025-05-28 11:26:53,2025-03-14 12:25:27,Legacy ERP,BATCH_20260313_002,Carry forward
T400052,2025-04-01,E100688,P200341,1641,"64,68,955.30",INR,E100512,Approved,2025-05-04 19:39:56,2025-06-30 19:38:02,CRM,BATCH_20260313_003,Revised
T400053,2026-03-01,E100285,P200289,1634,"58,90,699.56",INR,E100441,Approved,2025-05-15 13:17:32,2026-03-10 09:39:41,SAP,BATCH_20260313_003,Manual upload
T400054,2025-07-01,E100101,P200320,378,"9,46,930.96",INR,E100063,Approved,2025-11-20 06:12:05,2025-12-04 11:05:40,CRM,BATCH_20260313_001,Revised
