product_id,product_code,product_name,generic_name,division,therapeutic_area,dosage_form,strength,pack_size,mrp,launch_date,manufacturing_site,is_cold_chain,tax_percent,status,created_at,updated_at,source_system,batch_id,ad_hoc_attribute
P200001,PRD5001,OncoRelief,Azithromycin,Oncology,Oncology,Capsule,500 mg,1x30,"1,730.49",2019-10-22,Pune,N,12,Active,2023-12-11 11:19:59,2025-04-21 20:55:20,Legacy ERP,BATCH_20260313_001,Imported
P200002,PRD5002,GastroEase DS,Clobetasol,Gastro,Gastroenterology,Tablet,10 mg,60 ml,"5,273.85",2013-11-15,Vizag,N,5,Active,2024-09-06 14:11:35,2025-07-30 06:37:48,Legacy ERP,BATCH_20260313_001,
P200003,PRD5003,GlucoFree DS,Metformin,Diabetes,Endocrinology,Syrup,500 mg,1x15,"1,760.91",2015-07-06,Goa,N,12,Active,2025-06-27 01:08:26,2025-07-24 00:16:58,Legacy ERP,BATCH_20260313_001,Imported
P200004,PRD5004,DermaSoft DS,Gabapentin,Dermatology,Dermatology,Inhaler,50 mg,,"7,076.92",2011-07-01,Baddi,Y,18,Active,2025-01-29 06:34:39,2025-04-01 04:10:19,SFA App,BATCH_20260313_001,
P200005,PRD5005,PULMOAIR PLUS,Pembrolizumab,Respiratory,Pulmonology,Injection,50 mg,5 vials,410.45,2025-08-02,Ahmedabad,Y,18,Active,2023-04-23 15:27:55,2025-03-08 12:18:13,Legacy ERP,BATCH_20260313_001,
P200006,PRD5006,DermaSoft DS,Metformin,Dermatology,Dermatology,Injection,10 mg,10 ml,"6,506.84",2014-06-26,Vizag,Y,5,Under Review,2024-02-10 13:07:00,2025-11-26 19:16:18,SAP,BATCH_20260313_002,Promo Pack
P200007,PRD5007,OncoRelief Plus,Gabapentin,Oncology,Oncology,Tablet,10 mg,100 ml,"1,972.93",23/09/2018,Vizag,N,18,Active,2025-05-10 01:27:54,2025-12-21 06:50:16,Legacy ERP,BATCH_20260313_001,Imported
P200008,PRD5008,CardioZen OD,Clobetasol,Cardio,Cardiology,Tablet,500 mg,1x30,"4,372.73",2011-07-24,Ahmedabad,Y,5,Active,2024-01-10 01:56:10,2025-05-27 17:14:28,Legacy ERP,BATCH_20260313_002,Promo Pack
P200009,PRD5009,GlucoFree DS,Pantoprazole,Diabetes,Endocrinology,Suspension,500 mg,10 ml,"1,970.41",2014-11-30,Goa,N,12,Active,2023-01-23 05:22:55,2025-05-31 17:23:47,CRM,BATCH_20260313_002,Legacy SKU
P200010,PRD5010,GastroEase Plus,Pembrolizumab,Gastro,Gastroenterology,Capsule,100 mg,60 ml,"7,241.30",2016-04-19,Vizag,Y,5,Active,2024-04-10 16:55:21,2025-11-17 10:30:47,Legacy ERP,BATCH_20260313_001,
